GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
juego-lucha,com.juego.patrones.factory,EnemigoFactory,3,23,0,4,1,5,1,3,1,1
juego-lucha,com.juego.main,Main,109,0,12,0,25,0,8,0,2,0
juego-lucha,com.juego.model,Arquero,0,5,0,0,0,2,0,1,0,1
juego-lucha,com.juego.model,JefeDragon,16,5,0,0,3,2,1,1,1,1
juego-lucha,com.juego.model,ArqueroElite,15,8,0,0,4,3,1,1,1,1
juego-lucha,com.juego.model,Personaje,1,87,1,5,0,24,1,9,0,7
juego-lucha,com.juego.model,MagoBlanco,28,8,0,0,7,3,2,1,2,1
juego-lucha,com.juego.model,Mago,0,5,0,0,0,2,0,1,0,1
juego-lucha,com.juego.model,ArqueroInmortal,12,15,0,0,4,4,1,1,1,1
juego-lucha,com.juego.model,MagoOscuro,15,8,0,0,4,3,1,1,1,1
juego-lucha,com.juego.model,JefeSupermutante,19,5,0,0,4,2,1,1,1,1
juego-lucha,com.juego.patrones.abstractfactory,FabricaOscura,0,13,0,0,0,3,0,3,0,3
juego-lucha,com.juego.patrones.abstractfactory,FabricaLuz,0,13,0,0,0,3,0,3,0,3
